question_clear,content_clear
как оформить пособие по рождению ребенка?,"если ребенок зарегистрирован в загс 11.10.2023 или после 11.10.2023, и получателем пособия является мама ребенка, создавать заявку не нужно, необходимые данные работодателю будет направлять социальный фонд россии. если ребенок зарегистрирован в загс до 11.10.2023 или получателем пособия является отец ребенка (независимо от даты регистрации), требуется создать заявку для передачи сведений в социальный фонд россии в личном кабинете link или приложении ""моя работа"" в разделе ""декрет"", тема ""выплата единовременного пособия по рождению ребенка""."
"родила ребенка, как оформить пособие?","если ребенок зарегистрирован в загс 11.10.2023 или после 11.10.2023, и получателем пособия является мама ребенка, создавать заявку не нужно, необходимые данные работодателю будет направлять социальный фонд россии. если ребенок зарегистрирован в загс до 11.10.2023 или получателем пособия является отец ребенка (независимо от даты регистрации), требуется создать заявку для передачи сведений в социальный фонд россии в личном кабинете link или приложении ""моя работа"" в разделе ""декрет"", тема ""выплата единовременного пособия по рождению ребенка""."
хочу оформить единовременную выплату,"если ребенок зарегистрирован в загс 11.10.2023 или после 11.10.2023, и получателем пособия является мама ребенка, создавать заявку не нужно, необходимые данные работодателю будет направлять социальный фонд россии. если ребенок зарегистрирован в загс до 11.10.2023 или получателем пособия является отец ребенка (независимо от даты регистрации), требуется создать заявку для передачи сведений в социальный фонд россии в личном кабинете link или приложении ""моя работа"" в разделе ""декрет"", тема ""выплата единовременного пособия по рождению ребенка""."
какие документы нужно подать на отпуск по уходу за ребенком?,сотруднику необходимо перейти по ссылке в базу знаний личного кабинета link открыть инструкцию по процессу 1091 - администрирование отпуска по уходу за ребенком.
какие документы нужно предоставить для оформления пособия по беременности и родам,"сотруднику следует написать заявление о предоставлении отпуска по беременности и родам и передать его непосредственному руководителю, он оформит соответствующее мероприятие."
когда будет произведена выплата пособия по рождению ребенка?,выплата единовременного пособия при рождении производится в течение 10 рабочих дней. с дополнительными вопросами сотрудник может обратиться в сфр по номеру 8 (800) 100-00-01
сроки выплаты единовременного пособия при рождении ребенка,выплата единовременного пособия при рождении производится в течение 10 рабочих дней. с дополнительными вопросами сотрудник может обратиться в сфр по номеру 8 (800) 100-00-01
"когда отпуск по беременность и роды закончился, нужно ли писать заявление?","если сотрудник хочет уйти в отпуск по уходу за ребенком, ему следует написать заявление о предоставлении отпуска по уходу за ребенком и передать его непосредственному руководителю, он оформит соответствующее мероприятие."
могу ли я получить пособие по беременности и родам по каждому месту работы,"если вы работаете в нескольких местах, то можете оформить пособие по беременности и родам на каждом месте работы. при расчетах будет учитываться средний заработок у каждого работодателя в течение 2 лет."
возможно ли получить пособие по беременности и родам по каждому месту работы?,"если вы работаете в нескольких местах, то можете оформить пособие по беременности и родам на каждом месте работы. при расчетах будет учитываться средний заработок у каждого работодателя в течение 2 лет."
могу я получать пособие сразу в нескольких организациях?,"если вы работаете в нескольких местах, то можете оформить пособие по беременности и родам на каждом месте работы. при расчетах будет учитываться средний заработок у каждого работодателя в течение 2 лет."
можно ли получать пособие по рождению ребенка сразу в нескольких организациях?,"если вы работаете в нескольких местах, то можете оформить пособие по беременности и родам на каждом месте работы. при расчетах будет учитываться средний заработок у каждого работодателя в течение 2 лет."
могу я продолжить работать в отпуске по уходу за ребенком с сохранением пособия?,сотрудник может досрочно выйти из отпуска по уходу за ребенком с сохранением пособия
могу я продолжить работать в период больничного по беременности и родам и получать пособие,"вы можете продолжить работу во время больничного по беременности и родам, при этом вам будет выплачиваться заработная плата. пособие по беременности и родам будет рассчитано с фактической даты ухода в отпуск по беременности и родам (соответственно, будет оплачено меньшее кол-во дней бира)."
"можно ли изменить период больничного по беременности и родам, если в элн указаны другие периоды","вы можете продолжить работу во время больничного по беременности и родам, при этом вам будет выплачиваться заработная плата. пособие по беременности и родам будет рассчитано с фактической даты ухода в отпуск по беременности и родам (соответственно, будет оплачено меньшее кол-во дней бира)."
могут ли оба родителя получить единовременное пособие при рождении ребенка,"право на единовременное пособие при рождении ребенка имеет один из родителей или лицо, официально его заменяющее."
можем ли мы с мужем одновременно получать единовременное пособие при рождении,"право на единовременное пособие при рождении ребенка имеет один из родителей или лицо, официально его заменяющее."
могут ли оба родителя получить единовременное пособие при рождении ребенка?,"право на единовременное пособие при рождении ребенка имеет один из родителей или лицо, официально его заменяющее."
"можно ли изменить период больничного по беременности и родам, если в элн указаны другие периоды?","сотрудник может продолжить работу во время больничного по беременности и родам, при этом ему будет выплачиваться заработная плата. пособие по беременности и родам будет рассчитано с фактической даты ухода в отпуск по беременности и родам (соответственно, будет оплачено меньшее кол-во дней бира)."
могу я продолжить работать в период больничного по беременности и родам и получать пособие?,"сотрудник может продолжить работу во время больничного по беременности и родам, при этом ему будет выплачиваться заработная плата. пособие по беременности и родам будет рассчитано с фактической даты ухода в отпуск по беременности и родам (соответственно, будет оплачено меньшее кол-во дней бира)."
нужно провести отпуск беременной,"для оформления ежегодного отпуска вне графика сотрудник обращается к бизнес - партнеру по персоналу для создания заявки в личном кабинете по теме ""отпуск вне графика (для hr)"", к заявке прикладывается справка о беременности. заявления на отпуск принимаются за 6 дней до даты его начала."
как оформить отпуск по беременности,"для оформления ежегодного отпуска вне графика сотрудник обращается к бизнес - партнеру по персоналу для создания заявки в личном кабинете по теме ""отпуск вне графика (для hr)"", к заявке прикладывается справка о беременности. заявления на отпуск принимаются за 6 дней до даты его начала."
как сделать отпуск беременной,"для оформления ежегодного отпуска вне графика сотрудник обращается к бизнес - партнеру по персоналу для создания заявки в личном кабинете по теме ""отпуск вне графика (для hr)"", к заявке прикладывается справка о беременности. заявления на отпуск принимаются за 6 дней до даты его начала."
нужно провести отпуск беременной сотруднице,"для оформления ежегодного отпуска вне графика сотрудник обращается к бизнес - партнеру по персоналу для создания заявки в личном кабинете по теме ""отпуск вне графика (для hr)"", к заявке прикладывается справка о беременности. заявления на отпуск принимаются за 6 дней до даты его начала."
"оформила выплату на пособие при рождении ребенка, а оно не пришло","с данным вопросом сотруднику необходимо обратиться в сфр по номеру телефона 8 (800) 100-00-01. если требуется сделать перерасчет в связи с заменой лет по заявлению, сотрудник должен создать заявку в личном кабинете по теме ""больничный"", ""перерасчет пособий""."
не устраивает расчет отпуска по уходу за ребенком,"с данным вопросом сотруднику необходимо обратиться в сфр по номеру телефона 8 (800) 100-00-01. если требуется сделать перерасчет в связи с заменой лет по заявлению, сотрудник должен создать заявку в личном кабинете по теме ""больничный"", ""перерасчет пособий""."
"не устраивает выплата по беременности и родам, как произведен расчет?","с данным вопросом сотруднику необходимо обратиться в сфр по номеру телефона 8 (800) 100-00-01. если требуется сделать перерасчет в связи с заменой лет по заявлению, сотрудник должен создать заявку в личном кабинете по теме ""больничный"", ""перерасчет пособий""."
"что делать, если пособие по рождению ребенка оформлено, но не поступило?","с данным вопросом сотруднику необходимо обратиться в сфр по номеру телефона 8 (800) 100-00-01. если требуется сделать перерасчет в связи с заменой лет по заявлению, сотрудник должен создать заявку в личном кабинете по теме ""больничный"", ""перерасчет пособий""."
"перевестись, находясь в декадровый резервете",перевод возможен после окончания отпуска по беременности и родам.
перевестись во время отпуска беременность и роды,перевод возможен после окончания отпуска по беременности и родам.
можно ли перевестись в период отпуска по беременность и роды?,перевод возможен после окончания отпуска по беременности и родам.
я могу перевести во время отпуска по беременности?,перевод возможен после окончания отпуска по беременности и родам.
хочу поменять магазин во время отпуска по беременности,перевод возможен после окончания отпуска по беременности и родам.
хочу получить единовременную выплату на внука,"для оформления отпуска по уходу за ребенком (внучкой/внуком) сотруднику необходимо предоставить следующие документы: 1. заявление на отпуск до 3 лет; 2. заявление на пособие до 1,5 лет; 3. копия св-ва о браке родителей; 4. копии св-ва о рождении всех детей; 5. документ, подтверждающий степень родства бабушки и внучки (св-во о рождении сына или дочери, в зависимости от того, чья мама родителей оформляет отпуск); 6. справки от родителей: 1.1 если работают: справка с места работы отца и матери ребенка - в справке прописать корректно вид пособия и вид отпуска. (пример оформления справки – «выдана_____, в том, что работает с___по настоящее время в_____. отпуск по уходу за ребенком (фио, дата рождения ребенка) не оформлял. ежемесячное пособие по уходу за ребенком до 1,5 лет не назначалось и не выплачивалось. если у ребенка возраст до 3 месяцев – дополнительно справку с места работы мамы с указанием периода нахождения в отпуске по беременности и родам. 1.2 если родители не трудоустроены: 1. копии тк 2. справка с пенсионного фонда рф о неполучении ежемесячного пособия по уходу за ребенком 3. приложение к заявлению о назначении пособия до 1,5 лет. заявку следует создать по процессу 1091 – администрирование отпуска по уходу за ребенком."
могу я как бабушка получить единовременную выплату при рождении ребенка,"для оформления отпуска по уходу за ребенком (внучкой/внуком) сотруднику необходимо предоставить следующие документы: 1. заявление на отпуск до 3 лет; 2. заявление на пособие до 1,5 лет; 3. копия св-ва о браке родителей; 4. копии св-ва о рождении всех детей; 5. документ, подтверждающий степень родства бабушки и внучки (св-во о рождении сына или дочери, в зависимости от того, чья мама родителей оформляет отпуск); 6. справки от родителей: 1.1 если работают: справка с места работы отца и матери ребенка - в справке прописать корректно вид пособия и вид отпуска. (пример оформления справки – «выдана_____, в том, что работает с___по настоящее время в_____. отпуск по уходу за ребенком (фио, дата рождения ребенка) не оформлял. ежемесячное пособие по уходу за ребенком до 1,5 лет не назначалось и не выплачивалось. если у ребенка возраст до 3 месяцев – дополнительно справку с места работы мамы с указанием периода нахождения в отпуске по беременности и родам. 1.2 если родители не трудоустроены: 1. копии тк 2. справка с пенсионного фонда рф о неполучении ежемесячного пособия по уходу за ребенком 3. приложение к заявлению о назначении пособия до 1,5 лет. заявку следует создать по процессу 1091 – администрирование отпуска по уходу за ребенком."
может ли бабушка получить единовременную выплату при рождении ребенка?,"для оформления отпуска по уходу за ребенком (внучкой/внуком) сотруднику необходимо предоставить следующие документы: 1. заявление на отпуск до 3 лет; 2. заявление на пособие до 1,5 лет; 3. копия св-ва о браке родителей; 4. копии св-ва о рождении всех детей; 5. документ, подтверждающий степень родства бабушки и внучки (св-во о рождении сына или дочери, в зависимости от того, чья мама родителей оформляет отпуск); 6. справки от родителей: 1.1 если работают: справка с места работы отца и матери ребенка - в справке прописать корректно вид пособия и вид отпуска. (пример оформления справки – «выдана_____, в том, что работает с___по настоящее время в_____. отпуск по уходу за ребенком (фио, дата рождения ребенка) не оформлял. ежемесячное пособие по уходу за ребенком до 1,5 лет не назначалось и не выплачивалось. если у ребенка возраст до 3 месяцев – дополнительно справку с места работы мамы с указанием периода нахождения в отпуске по беременности и родам. 1.2 если родители не трудоустроены: 1. копии тк 2. справка с пенсионного фонда рф о неполучении ежемесячного пособия по уходу за ребенком 3. приложение к заявлению о назначении пособия до 1,5 лет. заявку следует создать по процессу 1091 – администрирование отпуска по уходу за ребенком."
можно ли бабушке оформить отпуск по уходу за ребенком,"для оформления отпуска по уходу за ребенком (внучкой/внуком) сотруднику необходимо предоставить следующие документы: 1. заявление на отпуск до 3 лет; 2. заявление на пособие до 1,5 лет; 3. копия св-ва о браке родителей; 4. копии св-ва о рождении всех детей; 5. документ, подтверждающий степень родства бабушки и внучки (св-во о рождении сына или дочери, в зависимости от того, чья мама родителей оформляет отпуск); 6. справки от родителей: 1.1 если работают: справка с места работы отца и матери ребенка - в справке прописать корректно вид пособия и вид отпуска. (пример оформления справки – «выдана_____, в том, что работает с___по настоящее время в_____. отпуск по уходу за ребенком (фио, дата рождения ребенка) не оформлял. ежемесячное пособие по уходу за ребенком до 1,5 лет не назначалось и не выплачивалось. если у ребенка возраст до 3 месяцев – дополнительно справку с места работы мамы с указанием периода нахождения в отпуске по беременности и родам. 1.2 если родители не трудоустроены: 1. копии тк 2. справка с пенсионного фонда рф о неполучении ежемесячного пособия по уходу за ребенком 3. приложение к заявлению о назначении пособия до 1,5 лет. заявку следует создать по процессу 1091 – администрирование отпуска по уходу за ребенком."
можно ли мне оформить отпуск по уходу за ребенком на внучку,"для оформления отпуска по уходу за ребенком (внучкой/внуком) сотруднику необходимо предоставить следующие документы: 1. заявление на отпуск до 3 лет; 2. заявление на пособие до 1,5 лет; 3. копия св-ва о браке родителей; 4. копии св-ва о рождении всех детей; 5. документ, подтверждающий степень родства бабушки и внучки (св-во о рождении сына или дочери, в зависимости от того, чья мама родителей оформляет отпуск); 6. справки от родителей: 1.1 если работают: справка с места работы отца и матери ребенка - в справке прописать корректно вид пособия и вид отпуска. (пример оформления справки – «выдана_____, в том, что работает с___по настоящее время в_____. отпуск по уходу за ребенком (фио, дата рождения ребенка) не оформлял. ежемесячное пособие по уходу за ребенком до 1,5 лет не назначалось и не выплачивалось. если у ребенка возраст до 3 месяцев – дополнительно справку с места работы мамы с указанием периода нахождения в отпуске по беременности и родам. 1.2 если родители не трудоустроены: 1. копии тк 2. справка с пенсионного фонда рф о неполучении ежемесячного пособия по уходу за ребенком 3. приложение к заявлению о назначении пособия до 1,5 лет. заявку следует создать по процессу 1091 – администрирование отпуска по уходу за ребенком."
что сделать для досрочного выхода из отпуска по уходу за ребенком?,сотруднику необходимо написать заявление на досрочный выход из отпуска по уходу за ребенком и передать его непосредственному руководителю. он оформит соответствующее мероприятие. заявление сотрудник может взять в базе знаний личного кабинета.
"что сделать, чтобы досрочно выйти из отпуска по беременности и родам","выплата пособия по беременности и родам (бир) производится за счет средств сфр. пособие выплачивается единовременно в полном объеме. если вы решите выйти из отпуска по беременности и родам досрочно, то необходимо будет вернуть сумму пособия по беременности и родам за период с даты выхода на работу по дату окончания отпуска бир, так как выплата пособия по беременности и родам и заработной платы одновременно не предусмотрена законодательством. излишне выплаченные денежные средства подлежат возврату единовременным платежом и в полном объеме. для досрочного выхода из отпуска по бир создайте, пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку по процессу 1101 – досрочный выход из отпуска по уходу за ребенком. в заявке необходимо указать, чтобы вам вложили заявление – согласие об удержании излишне выплаченных денежных средств, сумму переплаты и реквизиты для возврата платежа."
"я не могу подписать заявление на беременность и роды в течение двух недель, можно это сделать позже?",информацию по больничному можно передать работодателю в течение 6 месяцев.
есть ли сроки для предоставления документов после получения больничного по беременности и родам?,информацию по больничному можно передать работодателю в течение 6 месяцев.
где можно посмотреть электронный больничный,личный кабинет - сервисы - больничные
как загрузить больничный лист?,"на текущий момент данные по больничным листам поступают работодателю от сфр напрямую. если больничный лист не был подтвержден, а затем появилась необходимость в его проведении, то сотруднику следует создать заявку в личном кабинете по теме ""перерасчет пособий"" и указать номер элн."
не отображается больничный лист,"на текущий момент данные по больничным листам поступают работодателю от сфр напрямую. если больничный лист не был подтвержден, а затем появилась необходимость в его проведении, то сотруднику следует создать заявку в личном кабинете по теме ""перерасчет пособий"" и указать номер элн."
как подать данные на перерасчет пособия?,"создайте заявку по теме «больничный», подтема ""перерасчет пособий"". к заявке приложите документ - основание для перерасчета."
как изменить размер пособия?,"создайте заявку по теме «больничный», подтема ""перерасчет пособий"". к заявке приложите документ - основание для перерасчета."
некорректный расчет пособия,"создайте заявку по теме «больничный», подтема ""перерасчет пособий"". к заявке приложите документ - основание для перерасчета."
как внести изменения в данные о пособии,"создайте заявку по теме «больничный», подтема ""перерасчет пособий"". к заявке приложите документ - основание для перерасчета."
изменить данные пособия,"создайте заявку по теме «больничный», подтема ""перерасчет пособий"". к заявке приложите документ - основание для перерасчета."
неправильный расчет пособия,"создайте заявку по теме «больничный», подтема ""перерасчет пособий"". к заявке приложите документ - основание для перерасчета."
как рассчитывается пособие по больничному листу?,"расчет больничного производится по среднему заработку за последние 2 года, предшествующих году началу больничного. размер пособия определяется в процентах в зависимости от трудового стажа сотрудника. при стаже 8 и более лет полагается пособие в размере 100% от среднего заработка. при стаже от 5 до 8 лет – 80% от среднего заработка. стаж менее 5 лет даёт право на пособие в размере 60% от среднего заработка. среднедневной заработок рассчитывается путем деления суммы всех начислений в пользу работника, начисленных за два предыдущих года, на число календарных дней расчетного периода."
не падает больничный сотрудника на подтверждение?,"если руководитель не успел согласовать или не согласовать задачу по элн, бл автоматически согласовывается"
"сотрудник закадровый резервыл больничный лист, мне необходимо в своем личный кабинет подтвердить закадровый резервытие. но в разделе ""задачи"" этой задачи нет, также если пройти по ссыличный кабинете из письма показывает что нет данной задачи","если руководитель не успел согласовать или не согласовать задачу по элн, бл автоматически согласовывается"
